Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Wetbulb Temperature [C](Daily),Environment:Site Outdoor Air Relative Humidity [%](Daily),Environment:Site Wind Speed [m/s](Daily),Environment:Site Wind Direction [deg](Daily),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),THERMAL ZONE: BOX:Zone Outdoor Air Wind Speed [m/s](Daily),GSHPCLG:Heat Pump Electric Power [W](Daily),GSHPCLG:Heat Pump Source Side Inlet Temperature [C](Daily),GSHPHEATING:Heat Pump Electric Power [W](Daily),GSHPHEATING:Heat Pump Source Side Inlet Temperature [C](Daily) ,THERMAL ZONE: BOX:Zone Mean Air Temperature [C](Daily)
 06/22,17.15104167,13.47895333,71.17708333,1.775,76.28472222,346.0069444,92.99652778,297.25,0.838156239,146.4373025,13.6314343,0,13.6314343,19.67349356
 06/23,15.06215278,13.39790994,83.55902778,3.233680556,78.88888889,358.8888889,125.8125,23.20833333,1.526946215,118.2416951,13.63233063,0,13.63233063,19.14351656
 06/24,12.18576389,11.58922823,93.42013889,3.246180556,50.69444444,353.9270833,109.2013889,2.875,1.532848724,62.00327684,13.62161649,0,13.62161649,17.14450414
 06/25,15.6,12.33795045,71.40625,1.358333333,62.91666667,348.7777778,114.8888889,210.0833333,0.641405948,97.6674622,13.62814154,0,13.62814154,17.64767727
 06/26,15.83923611,13.46042526,78.03472222,2.517013889,253.3680556,349.9305556,150.1770833,42,1.188535715,133.6765217,13.64326257,0,13.64326257,18.84336755
 06/27,12.14201389,9.083115693,67.79513889,5.074305556,322.0833333,329.1423611,131.1527778,52.54166667,2.396090625,103.446656,13.64439261,0,13.64439261,18.16589331
 06/28,14.58611111,11.33861257,69.18402778,4.667013889,297.1180556,340.21875,151.8923611,95.08333333,2.203767216,105.1681125,13.64763449,0,13.64763449,18.05914741
 06/29,16.37569444,13.77140769,76.26388889,4.821180556,274.3055556,365.3125,153.2048611,40.29166667,2.276564823,126.4590143,13.65720366,0,13.65720366,18.60981917
 06/30,13.37569444,10.7777499,74.3125,2.507986111,204.7916667,342.0243056,147.25,86.5,1.184272792,76.73913785,13.6521083,0,13.6521083,17.75657954
 07/01,15.66354167,12.99507758,75.65277778,2.607291667,202.5,349.0486111,136.8888889,144.2916667,1.231164945,94.77283161,13.65632946,0,13.65632946,18.39993603
 07/02,16.39826389,13.47809971,75.40625,2.201041667,129.1319444,344.4340278,123.7881944,227.0833333,1.039333411,161.6773947,13.67648202,0,13.67648202,19.96274786
 07/03,16.85381944,15.43537019,87.53472222,3.617361111,68.33333333,362.7951389,130.1111111,36.5,1.708120441,161.4937508,13.68760848,0,13.68760848,19.99486721
 07/04,18.67604167,16.01959465,78.60416667,5.327430556,53.57638889,361.0138889,135.3645833,180.7083333,2.515616427,175.3827491,13.69741488,0,13.69741488,20.18487438
 07/05,19.22291667,16.26357778,76.43402778,5.118055556,59.6875,350.3125,83.70138889,342.4583333,2.416749406,193.2829822,13.70904515,0,13.70904515,20.75921103
 07/06,18.81840278,15.8159498,75.72916667,3.165277778,118.5069444,357.1527778,91.54166667,284.75,1.494646376,197.4969917,13.71782022,0,13.71782022,21.05886667
 07/07,18.58680556,14.76170872,69.65277778,2.508333333,112.9861111,351.8958333,136.9583333,186.7083333,1.184436751,156.1661957,13.71475328,0,13.71475328,20.42052286
 07/08,16.19791667,14.70720141,85.68055556,4.447916667,186.2152778,362.03125,128.5486111,22.08333333,2.100309354,126.9743428,13.70938819,0,13.70938819,19.41993227
 07/09,16.97395833,13.09802592,66.17361111,4.56875,244.3402778,353.6215278,136.3055556,161.1666667,2.157366939,143.3999836,13.7127151,0,13.7127151,19.32119449
 07/10,18.16736111,14.73625424,72.02083333,3.363888889,157.7083333,347.6736111,152.9305556,120.5416667,1.588430681,164.8418541,13.72221614,0,13.72221614,20.07784362
 07/11,18.76388889,16.1802131,78.20486111,4.249652778,197.1180556,361.9791667,151.4722222,78.41666667,2.006689008,192.6819259,13.73443728,0,13.73443728,20.52990852
 07/12,15.59201389,13.01483331,75.6875,5.467013889,221.5625,350.1354167,153.96875,52.75,2.581527774,154.5496724,13.73292,0,13.73292,19.60197052
 07/13,16.790625,14.52648503,79.23263889,3.832291667,221.5972222,362.8611111,144.4050926,47.83333333,1.8096108,150.2971146,13.73308209,0,13.73308209,19.34295013
 07/14,17.54131944,13.24327207,64.24305556,3.375694444,268.5763889,347.9131944,87.67013889,303.7916667,1.594005273,128.6777565,13.73092062,0,13.73092062,19.48237595
 07/15,16.53506944,13.03801181,68.67361111,4.400347222,254.2361111,355.8645833,156.5092593,77.41666667,2.07784703,130.4387725,13.73216841,0,13.73216841,19.63085503
 07/16,16.00243056,12.34528157,67.30555556,3.481944444,261.3541667,341.2743056,148.9907407,84.25,1.644176597,151.7791583,13.73905957,0,13.73905957,19.64052861
 07/17,15.82743056,12.19094609,67.20833333,1.8625,252.5,336.9513889,133.4178241,47.79166667,0.8794738,145.4303439,13.7424229,0,13.7424229,19.44401316
 07/18,16.01805556,13.71134118,79.53472222,4.180208333,227.1527778,363.34375,134.6956019,92.75,1.973897293,146.1816807,13.74526954,0,13.74526954,19.3807722
