Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Daily),Environment:Site Outdoor Air Relative Humidity [%](Daily),Environment:Site Wind Speed [m/s](Daily),Environment:Site Wind Direction [deg](Daily),Environment:Site Horizontal Infrared Radiation Rate per Area [W/m2](Daily),Environment:Site Diffuse Solar Radiation Rate per Area [W/m2](Daily),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Daily),THERMAL ZONE: BOX:Zone Outdoor Air Wetbulb Temperature [C](Daily),THERMAL ZONE: BOX:Zone Outdoor Air Wind Speed [m/s](Daily),THERMAL ZONE: BOX:Zone Mean Air Temperature [C](Daily) 
 10/16,12.12777778,90.97569444,4.248958333,81.38888889,352.59375,45.97916667,8.458333333,11.30770575,2.006361091,13.20427337
 10/17,11.63541667,87.10763889,4.582638889,91.31944444,349.9722222,37.19097222,0,10.47646376,2.163925282,13.31226821
 10/18,13.56770833,96.13194444,4.514236111,90.38194444,360.1354167,36.20601852,0,13.19744236,2.131625442,13.53451224
 10/19,14.94201389,88.53472222,3.428472222,151.7708333,351.2048611,53.63425926,29.875,13.76674125,1.618926976,13.38757152
 10/20,11.59826389,90.45486111,1.498958333,237.8819444,326.0277778,51.02314815,59.31944444,10.68242218,0.707809171,13.10835476
 10/21,9.4125,91.55555556,2.372222222,140.1041667,300.6840278,51.04513889,36.55671296,8.619066309,1.120164989,13.04939975
 10/22,12.35763889,88.96527778,2.484027778,138.2638889,326.2881944,50.67476852,13.5,11.32011434,1.17295965,13.5005662
 10/23,11.06631944,93.71527778,3.024652778,107.9861111,330.4513889,34.58680556,0.166666667,10.5093608,1.428243153,13.36029481
 10/24,11.1125,92.29166667,2.2625,165.4861111,319.1631944,46.20023148,72.54166667,10.38752318,1.068354079,13.61086332
 10/25,13.30069444,91.86458333,4.315277778,147.9166667,350.84375,40.87847222,19.66666667,12.51161628,2.037677179,13.87822846
 10/26,14.34340278,84.44791667,5.549652778,166.9097222,339.9756944,46.33333333,14.25,12.79984012,2.620549915,13.04582663
 10/27,13.12708333,78.67708333,4.988541667,221.6319444,334.7708333,43.93287037,62.79166667,11.05266207,2.355592857,13.05391642
 10/28,8.686805556,77.38541667,2.716666667,226.3194444,296.9201389,44.72453704,26.16666667,6.759316489,1.282811896,13.25490627
 10/29,2.7,80.95138889,1.541666667,79.16666667,259.8368056,28.93402778,161.3194444,1.348430648,0.727976076,12.08374779
 10/30,1.220833333,85.72222222,1.111458333,66.84027778,252.9791667,43.97222222,67.375,0.247346568,0.524831401,10.77396559
 10/31,1.742361111,86.80555556,0.421875,88.99305556,254.6840278,27.14930556,160.9166667,0.740432906,0.199209669,10.45261741
 11/01,8.453819444,78.37152778,3.871527778,272.8819444,312.2743056,37.13541667,76.25,6.610275811,1.828138119,10.30907897
 11/02,6.126388889,85.55208333,3.832638889,324.3055556,297.1423611,37.60763889,16.33333333,5.043382832,1.809774758,7.985198611
 11/03,5.498958333,72.95833333,4.673958333,327.9166667,284.5243056,33.7349537,96.33333333,3.497381933,2.207046387,6.989757997
 11/04,6.09375,73.53125,4.280208333,329.1666667,291.375,32.18055556,99.41666667,4.096079018,2.021117362,8.483561591
 11/05,5.272569444,84.59027778,3.011805556,142.1527778,283.3402778,31.29976852,100.7083333,4.112570461,1.422176685,8.638104497
 11/06,5.245138889,89.09722222,1.970486111,85.38194444,300.6076389,37.90625,12.04166667,4.408675945,0.930464917,8.190450591
 11/07,7.000347222,85.67013889,2.838541667,72.11805556,310.9201389,37.76851852,21.33333333,5.869741572,1.340361356,8.514715334
 11/08,5.764583333,85.95486111,4.015972222,101.25,299.7222222,31.64583333,8.375,4.685554917,1.896344886,8.190405701
 11/09,5.940625,90.93402778,3.688541667,125.1388889,307.8854167,25.65972222,1.416666667,5.286810468,1.741731949,6.788133393
 11/10,10.465625,95.98958333,2.907986111,186.9444444,335.1180556,26.50462963,9.208333333,10.11535939,1.373153071,7.048660059
 11/11,10.725,83,3.120833333,218.8888889,324.3298611,31.19791667,53.04166667,9.210639859,1.473659678,9.225213626
 11/12,12.70972222,95.70486111,3.271875,191.1458333,357.0381944,25.22106481,5.083333333,12.31622148,1.544981659,10.19086134
 11/13,12.40590278,87.85069444,4.115972222,206.4236111,338.7326389,33.05555556,35.125,11.26843013,1.943564956,10.85907368
 11/14,10.80833333,79.26388889,4.675,267.2569444,322.7118056,32.14351852,25.58333333,8.933801964,2.207538263,10.64233131
 11/15,10.61319444,76.77083333,5.161458333,252.9513889,322.0173611,30.80902778,11.125,8.570046244,2.437244228,10.13944564
 11/16,13.51840278,84.85069444,7.196527778,227.8125,352.3819444,27.98958333,9.875,12.03390458,3.39820544,9.282840695
 11/17,10.96145833,85.95833333,4.586458333,255.3472222,334.1041667,29.40625,10.125,9.711619593,2.165728826,8.96274369
 11/18,8.325694444,66.46875,6.196875,263.8194444,294.7743056,29.76388889,56.39236111,5.548061439,2.9261687,9.380070828
 11/19,6.546875,79.88194444,3.725,234.8611111,294.5069444,20.61689815,3.291666667,5.012606383,1.7589476,8.624155442
 11/20,3.835069444,83.60069444,3.409027778,265.5902778,282.0034722,28.4837963,63.89814815,2.676002472,1.609745296,8.038666182
 11/21,3.575,87.89583333,1.649305556,211.9791667,292.3958333,27.25231481,15.75,2.746901221,0.778803234,7.425353391
 11/22,0.432291667,94.50694444,0.680208333,172.2569444,268.6388889,23.26851852,27.875,0.08368581,0.32119485,6.392928273
 11/23,2.399305556,94.79166667,4.585763889,148.5763889,291.0520833,19.62268519,2.708333333,2.048963454,2.165400909,4.862344982
 11/24,4.006597222,89.60069444,5.966319444,90.90277778,299.1284722,19.33912037,3.5,3.292541704,2.817300206,4.893649932
 11/25,3.922916667,93.31944444,2.892013889,42.84722222,303.3854167,20.10416667,4.833333333,3.466904286,1.365610977,6.282863505
 11/26,6.011458333,78.19791667,7.483680556,17.15277778,302.3784722,24.41666667,10.25,4.382515088,3.533799182,7.215426188
 11/27,4.677083333,86.75,3.955555556,123.3680556,297.34375,23.96180556,9.75,3.748118669,1.867816094,7.389958152
 11/28,5.481944444,88.4375,3.162152778,165.9027778,307.7048611,23.37152778,9.416666667,4.64688476,1.493170749,7.370860507
